segment_id,BEAS-2B half life (h),BEAS-2B log2 steady state mRNA,Jurkat log2 steady state mRNA,WiDr log2 steady state mRNA
CN1_001166,nd,-0.497,0.748,1.329
CN1_001167,nd,nd,nd,nd
CN1_001168,nd,0.312,0.199,0.396
CN1_001169,nd,-0.176,0.419,0.204
CN1_001170,2.85,-0.575,-0.420,-1.022
CN1_001171,1.87,-0.879,-0.729,-1.387
CN1_001172,3.22,-1.755,-2.070,-2.836
CN1_001173,2.46,-1.472,-1.675,-2.586
CN1_001174,2.74,-1.257,-0.966,-1.637
CN1_001175,1.87,-0.399,-0.676,-1.798
CN1_001176,2.06,-0.159,-0.311,-0.605
CN1_001177,1.81,-0.640,-0.294,-1.166
CN1_001178,1.74,nd,nd,-1.995
CN1_001179,2.08,-0.198,-0.335,-0.894
CN1_001180,2.67,-0.053,-0.038,-0.707
CN1_001181,3.56,0.509,1.276,2.433
CN1_001182,2.14,-0.629,-0.626,-1.239
CN1_001183,3.25,0.646,0.933,1.897
CN1_001184,2.26,-0.234,-1.352,-1.150
CN1_001185,1.60,-0.805,-0.658,-0.695
CN1_001186,1.66,-0.516,-1.145,-1.428
CN1_001187,2.08,-0.681,-0.816,-1.158
CN1_001188,2.73,-0.057,0.426,0.207
CN1_001189,3.14,0.496,0.889,1.619
CN1_001190,2.64,0.064,-0.474,-0.095
CN1_001191,3.13,-0.032,-0.318,0.374
CN1_001192,nd,0.335,1.453,1.971
CN1_001193,nd,-0.046,0.426,0.741
CN1_001194,1.78,-0.487,-0.727,-1.021
CN1_001195,1.92,-0.228,-0.215,-0.707
CN1_001196,3.07,0.160,0.101,0.305
CN1_001197,2.26,-0.032,-0.027,-0.526
CN1_001198,2.97,0.364,0.777,0.569
CN1_001199,3.02,0.356,1.804,2.743
CN1_001201,2.75,0.467,0.446,0.422
CN1_001202,nd,-0.163,0.595,1.087
CN1_001203,nd,-0.307,-0.367,0.049
CN1_001204,2.06,-0.243,0.211,0.688
CN1_001205,nd,nd,nd,nd
CN1_001206,nd,-0.412,0.130,1.501
CN1_001207,1.82,-0.764,0.108,-0.233
CN1_001208,1.82,-0.414,0.289,0.254
CN1_001209,nd,-0.559,0.812,1.262
CN1_001210,2.04,-0.135,-0.420,-1.278
CN1_001211,2.88,0.190,0.230,-0.312
CN1_001212,2.36,-0.404,-0.208,-0.122
CN1_001213,3.34,0.585,-0.237,0.715
CN1_001214,2.36,-0.098,0.032,0.225
CN1_001215,nd,nd,nd,nd
CN1_001216,3.33,0.494,0.716,1.385
CN1_001217,2.95,0.426,0.629,1.050
CN1_001218,3.69,0.782,0.850,1.921
CN1_001219,1.92,-0.286,-0.707,-1.003
CN1_001220,1.71,-0.405,-0.798,-1.150
CN1_001221,2.17,0.045,-0.039,-0.186
CN1_001222,3.66,0.669,1.390,2.654
CN1_001223,2.95,-1.685,-2.738,-1.753
CN1_001224,2.45,0.274,0.136,-0.197
CN1_001225,nd,0.413,0.351,1.002
CN1_001226,nd,-0.731,-0.150,-1.474
CN1_001227,1.93,-0.252,-0.388,-0.677
CN1_001228,2.28,-0.031,-0.436,-0.851
CN1_001229,2.35,-0.034,-0.116,-0.570
CN1_001230,2.47,0.132,0.133,0.304
CN1_001231,nd,-0.562,nd,0.974
CN1_001232,2.09,nd,nd,nd
CN1_001233,nd,-0.304,0.737,0.547
CN1_001234,2.89,-0.013,0.072,-0.479
CN1_001235,3.06,0.593,0.873,0.479
CN1_001236,3.29,0.517,0.616,0.333
CN1_001237,nd,0.129,0.714,1.108
CN1_001239,nd,0.143,0.129,1.162
CN1_001240,2.94,0.285,0.334,0.956
CN1_001241,1.92,-0.741,-1.339,-1.820
CN1_001242,2.87,0.121,0.007,-0.033
CN1_001243,1.87,-0.192,-0.538,-0.735
CN1_001244,1.68,nd,nd,-1.497
CN1_001245,1.89,-0.256,-0.807,-1.115
CN1_001246,1.95,-0.376,-0.341,-0.550
CN1_001247,3.21,-2.346,-2.715,-2.193
CN1_001248,2.23,-0.100,-0.126,0.031
CN1_001249,nd,0.283,0.003,-0.465
CN1_001250,nd,nd,nd,nd
CN1_001251,2.29,-0.089,0.064,-0.703
CN1_001252,nd,0.591,0.819,0.624
CN1_001253,2.08,0.078,0.020,-0.273
CN1_001254,2.99,0.439,0.270,0.286
CN1_001255,nd,nd,nd,nd
CN1_001256,2.46,0.066,0.625,-0.205
CN1_001257,nd,0.775,0.418,1.898
CN1_001258,nd,-0.100,0.098,1.174
CN1_001259,2.19,-0.114,0.004,-0.398
CN1_001260,2.63,-0.255,0.157,1.037
CN1_001261,nd,0.379,0.481,0.856
CN1_001262,1.73,-0.719,-1.417,-2.600
CN1_001263,2.76,0.520,-0.166,-0.343
CN1_001264,2.68,-0.004,-0.052,-0.546
CN1_001265,2.73,0.271,0.330,0.251
CN1_001266,nd,-0.387,-0.065,-0.122
CN1_001267,nd,nd,nd,nd
CN1_001268,nd,0.343,0.385,0.290
CN1_001269,2.77,-0.052,0.433,0.301
CN1_001270,2.98,0.260,0.181,0.551
CN1_001271,nd,nd,nd,2.425
CN1_001272,3.01,0.189,0.669,0.387
CN1_001273,3.08,-0.118,0.019,0.108
CN1_001274,1.72,-0.560,-0.629,-0.856
CN1_001275,nd,nd,nd,nd
CN1_001276,2.04,-0.106,-0.641,-1.681
CN1_001277,2.53,0.208,0.482,0.293
CN1_001278,nd,-0.087,1.147,0.348
CN1_001279,2.77,0.393,-0.501,0.064
CN1_001280,2.39,0.098,-0.042,-0.355
CN1_001281,nd,nd,nd,1.939
CN1_001282,2.56,-0.035,-0.464,-0.081
CN1_001283,nd,0.556,0.988,1.852
CN1_001284,nd,nd,nd,nd
CN1_001285,2.00,-0.479,-0.366,-1.585
CN1_001286,2.01,-0.148,-0.590,-1.431
CN1_001287,2.60,0.327,0.406,0.639
CN1_001288,2.18,-0.515,-0.577,-1.071
CN1_001289,2.63,-0.196,-0.675,-1.576
CN1_001290,1.95,-0.621,-0.684,-1.799
CN1_001291,2.46,-0.444,-0.839,-1.563
CN1_001292,2.86,0.276,2.055,2.793
CN1_001293,2.23,0.235,0.235,-0.493
CN1_001294,2.10,-0.616,-0.771,-1.415
CN1_001295,2.46,-0.804,-1.498,-1.960
CN1_001296,nd,-0.333,-1.174,-1.725
CN1_001297,2.69,0.033,0.306,0.931
CN1_001298,1.85,0.171,-0.022,0.764
CN1_001299,1.80,-0.372,-0.503,-1.011
CN1_001300,1.84,-0.616,-0.785,-0.861
CN1_001301,1.92,-0.102,0.246,-0.055
CN1_001302,2.04,0.026,-0.335,-0.931
CN1_001303,nd,-0.607,-0.579,-0.443
CN1_001304,3.13,0.111,0.824,1.177
CN1_001305,2.72,0.202,-0.146,-0.550
CN1_001306,2.09,-0.140,-0.184,-1.006
CN1_001307,1.90,-0.298,-0.627,-1.177
CN1_001308,2.96,0.566,0.507,0.100
CN1_001309,nd,0.416,0.741,1.509
CN1_001310,2.31,0.539,0.813,1.460
CN1_001311,2.01,-0.371,-0.413,-1.238
CN1_001312,2.50,-0.070,0.011,-0.754
CN1_001313,nd,0.517,1.221,1.841
CN1_001314,3.09,0.564,0.560,1.274
CN1_001315,nd,-0.349,0.247,0.114
CN1_001316,2.40,0.371,1.253,0.956
CN1_001317,2.84,0.239,-0.007,-0.284
CN1_001318,2.92,0.837,0.125,-0.210
CN1_001319,2.97,0.180,-0.323,-0.125
CN1_001320,2.71,-0.218,0.240,0.209
CN1_001321,2.45,0.017,-0.543,-0.823
CN1_001322,3.95,-0.758,-1.588,-0.560
CN1_001323,nd,-0.516,-0.025,0.694
CN1_001324,2.84,0.405,0.021,-0.086
CN1_001326,nd,0.310,4.783,6.082
CN1_001327,2.55,nd,,
CN1_001328,nd,nd,nd,nd
CN1_001329,1.83,-0.441,-0.855,-1.099
CN1_001330,2.97,0.109,-0.341,-0.028
CN1_001331,nd,-1.212,0.142,0.659
CN1_001332,nd,-0.239,-0.680,-0.526
CN1_001333,3.35,0.540,0.754,1.413
CN1_001334,2.66,0.704,0.191,0.081
CN1_001335,1.76,-0.654,-0.383,-1.574
CN1_001336,nd,nd,nd,nd
CN1_001337,nd,0.481,0.604,2.491
CN1_001338,3.76,0.580,0.350,0.258
CN1_001339,2.21,-0.247,-0.157,-0.400
CN1_001340,2.66,0.351,-0.363,0.127
CN1_001341,2.71,-0.069,-0.548,-0.337
CN1_001342,1.68,-0.002,-0.441,-0.706
CN1_001343,nd,-0.328,-0.452,-0.226
CN1_001345,nd,-0.203,-0.380,-0.310
CN1_001346,1.61,-0.524,-0.465,-1.459
CN1_001347,3.53,0.351,0.246,1.328
CN1_001348,1.63,-0.524,-0.445,-0.903
CN1_001349,2.66,0.331,0.205,0.884
CN1_001350,nd,-0.627,-1.836,-2.552
CN1_001351,3.14,-0.341,-0.571,-0.375
CN1_001352,nd,nd,nd,nd
CN1_001353,2.06,-0.445,-0.453,-0.921
CN1_001354,1.93,-0.313,0.256,1.351
CN1_001355,2.36,0.257,-0.714,-0.830
CN1_001356,2.11,-0.637,-0.814,-1.066
CN1_001357,1.85,-0.741,-1.074,-2.236
CN1_001358,nd,nd,nd,nd
CN1_001359,nd,-0.278,-0.142,0.294
CN1_001360,nd,0.631,1.169,3.109
CN1_001361,3.15,-0.486,-1.019,0.490
CN1_001362,1.41,-0.472,-0.685,-0.545
CN1_001363,2.31,nd,nd,-1.288
CN1_001364,2.70,0.049,-0.127,-1.332
CN1_001365,nd,-0.863,0.005,-0.132
CN1_001366,3.29,-0.634,-0.221,-0.355
CN1_001367,nd,0.421,1.221,2.724
CN1_001368,2.62,0.297,0.507,0.874
CN1_001369,3.80,0.526,0.729,0.520
CN1_001370,3.63,0.844,0.820,1.347
CN1_001371,2.99,-0.066,-0.132,-0.850
CN1_001372,2.34,0.024,-0.109,-0.059
CN1_001373,3.00,0.560,0.394,0.982
CN1_001374,nd,nd,nd,nd
CN1_001375,2.09,-0.129,0.350,0.045
CN1_001376,3.39,0.390,0.041,0.847
CN1_001377,2.89,0.198,0.538,0.889
CN1_001378,nd,0.474,0.838,1.606
CN1_001379,2.93,0.507,0.013,0.175
CN1_001380,1.90,0.088,-0.227,-0.494
CN1_001381,2.06,-0.110,-0.744,-1.434
CN1_001382,nd,0.272,1.204,1.913
CN1_001383,1.77,-0.789,-1.355,-2.283
CN1_001384,2.78,0.052,0.233,1.023
CN1_001385,2.56,0.242,-0.259,-0.322
CN1_001386,nd,-0.057,1.105,2.122
CN1_001387,2.79,0.284,-0.058,0.132
CN1_001388,nd,0.317,0.820,1.756
CN1_001389,nd,-0.572,-0.348,0.786
CN1_001390,nd,-0.745,-0.208,0.618
CN1_001391,3.39,0.778,0.899,1.310
CN1_001392,2.93,0.163,0.480,0.877
CN1_001393,2.34,-0.501,-0.357,-0.543
CN1_001394,nd,0.117,1.055,0.866
CN1_001395,2.67,-1.023,-1.120,-1.123
CN1_001396,nd,nd,nd,1.776
CN1_001397,3.11,nd,nd,nd
CN1_001398,nd,0.247,1.000,1.301
CN1_001399,1.96,-0.705,-1.425,-2.289
CN1_001401,2.86,0.608,0.446,0.914
CN1_001402,nd,1.068,2.396,3.725
CN1_001403,3.02,0.367,0.559,0.946
CN1_001404,2.46,-0.251,-0.191,0.281
CN1_001405,2.66,0.018,-0.100,0.115
CN1_001406,2.68,0.460,0.960,0.448
CN1_001408,nd,nd,nd,4.392
CN1_001409,nd,-0.538,-0.400,0.105
CN1_001410,2.21,-0.276,-0.266,-0.625
CN1_001411,1.83,-0.623,0.322,-0.101
CN1_001412,2.40,0.049,0.009,-0.427
CN1_001413,nd,0.123,0.930,1.300
CN1_001414,3.43,-0.368,-0.355,0.486
CN1_001415,3.28,0.639,0.558,1.088
CN1_001416,2.26,-0.036,-0.363,-0.245
CN1_001417,2.51,0.037,-0.253,-0.289
CN1_001418,nd,0.154,0.447,0.812
CN1_001419,1.51,-1.207,-0.531,-0.777
CN1_001420,nd,-0.684,0.631,1.082
CN1_001421,1.51,-1.424,-1.894,-1.968
CN1_001422,2.05,-0.705,-0.848,-1.716
CN1_001423,2.06,-0.371,-0.464,-1.337
CN1_001424,2.01,-0.037,-0.257,-0.534
CN1_001425,2.93,0.366,0.645,0.834
CN1_001426,3.08,0.395,0.962,0.873
CN1_001427,3.09,0.232,0.025,0.072
CN1_001428,2.14,0.350,0.254,0.179
CN1_001429,3.77,1.044,0.763,1.065
CN1_001430,2.70,0.077,0.529,0.603
CN1_001431,nd,nd,nd,nd
CN1_001432,nd,0.338,0.743,1.633
CN1_001433,3.23,0.114,-0.566,-0.108
CN1_001434,3.23,0.205,-0.383,-0.103
CN1_001435,2.60,0.193,-0.092,-0.354
CN1_001436,2.59,0.279,-0.438,-0.142
CN1_001437,nd,nd,nd,nd
CN1_001438,1.63,-0.607,-0.794,-1.012
CN1_001439,1.85,-0.211,-0.126,-0.298
CN1_001440,nd,0.374,3.173,3.303
CN1_001441,3.41,0.541,0.710,1.566
CN1_001442,2.63,0.123,0.445,0.300
CN1_001443,2.32,-0.154,-0.317,-0.233
CN1_001444,nd,1.051,1.435,2.454
CN1_001445,nd,0.079,2.130,2.531
CN1_001446,2.43,0.193,0.068,-0.601
CN1_001447,1.62,-0.528,-0.716,-1.650
CN1_001448,1.77,-0.475,-0.366,-1.009
CN1_001449,nd,-0.453,0.437,0.545
CN1_001450,3.79,0.547,0.667,0.695
CN1_001451,2.38,-0.027,0.388,0.880
CN1_001452,1.63,-0.832,-0.496,-1.012
CN1_001453,2.33,-0.100,0.303,-0.018
CN1_001454,nd,nd,nd,nd
CN1_001455,nd,0.701,3.828,4.629
CN1_001456,2.72,0.302,0.678,0.552
CN1_001457,nd,-0.559,-0.068,-0.203
CN1_001458,nd,0.150,1.229,2.825
CN1_001459,2.90,0.371,0.275,0.667
CN1_001460,1.92,-0.194,-0.374,-0.805
CN1_001461,2.23,-0.837,-0.875,-0.863
CN1_001462,nd,0.621,1.211,2.190
CN1_001463,1.97,-0.102,-0.523,-1.288
CN1_001464,1.97,-0.559,-0.513,-1.113
CN1_001465,3.18,0.528,0.171,-0.134
CN1_001466,1.55,-1.216,-0.388,-1.773
CN1_001467,2.46,0.234,-0.017,-0.437
CN1_001468,nd,0.104,0.733,1.567
CN1_001469,2.84,-0.001,-0.509,-0.750
CN1_001470,2.12,-0.298,0.167,0.268
CN1_001471,nd,-0.253,0.185,0.820
CN1_001472,nd,0.460,1.087,2.363
CN1_001473,2.59,0.287,0.286,0.117
CN1_001474,nd,-1.254,-0.271,-0.213
CN1_001475,2.23,0.185,-0.115,-0.733
CN1_001476,nd,0.077,-0.435,0.306
CN1_001477,nd,nd,nd,nd
CN1_001478,1.83,-1.219,-0.593,0.801
CN1_001480,2.09,-0.141,-0.303,-0.921
CN1_001481,2.91,0.578,-0.052,1.110
CN1_001482,2.98,0.367,0.398,0.750
CN1_001483,1.69,-0.619,-0.438,-1.477
CN1_001484,3.07,0.260,0.000,-0.142
CN1_001485,2.11,-0.709,-0.782,-1.558
CN1_001486,2.47,0.057,0.094,-0.333
CN1_001487,nd,-0.302,0.832,1.089
CN1_001488,nd,-0.879,0.815,-0.486
CN1_001489,2.69,0.195,-0.024,-0.066
CN1_001490,2.81,0.206,-0.225,-0.574
CN1_001491,2.70,0.319,-0.022,-0.451
CN1_001492,nd,nd,nd,nd
CN1_001493,2.03,-0.180,-0.009,-0.064
CN1_001494,2.28,-0.164,-0.712,-0.950
CN1_001495,1.81,-0.938,-0.484,-0.688
CN1_001496,3.08,-0.378,0.194,0.326
CN1_001497,2.80,-0.005,-0.108,-0.013
CN1_001498,2.36,-0.870,-1.211,-1.994
CN1_001499,1.90,-0.634,-0.844,-1.445
CN1_001500,2.12,0.177,-0.913,-1.045
CN1_001501,2.64,0.011,0.226,0.944
CN1_001502,nd,nd,nd,nd
CN1_001503,nd,0.007,0.480,0.201
CN1_001504,2.63,-0.084,-0.182,-0.472
CN1_001505,2.35,0.380,-0.239,0.253
CN1_001506,3.29,0.726,0.403,1.062
CN1_001507,nd,0.063,0.302,0.514
CN1_001508,2.18,0.126,-0.114,-0.375
CN1_001509,2.88,0.133,0.426,0.772
CN1_001510,2.73,0.148,0.732,1.077
CN1_001511,3.39,0.810,0.848,1.229
CN1_001512,2.69,0.021,0.230,-0.077
CN1_001513,3.28,0.670,0.784,1.041
CN1_001514,2.80,0.139,-0.029,-0.064
CN1_001516,2.83,0.385,0.609,0.727
CN1_001517,1.81,-1.075,-0.853,-1.402
CN1_001518,2.26,-1.218,-1.984,-3.007
CN1_001519,nd,-0.765,-0.602,0.275
CN1_001520,nd,0.521,0.160,0.960
CN1_001521,2.00,-0.181,-0.497,-0.891
CN1_001522,2.82,0.144,0.602,1.045
CN1_001523,2.87,-0.127,0.471,0.358
CN1_001524,nd,-3.836,nd,nd
CN1_001525,nd,0.011,1.088,1.492
CN1_001526,nd,nd,nd,1.185
CN1_001527,3.43,0.004,0.106,0.081
CN1_001528,2.03,0.041,-0.349,-0.828
CN1_001529,3.48,0.452,0.333,0.693
CN1_001530,nd,0.326,1.074,2.465
CN1_001531,nd,0.437,0.164,0.778
CN1_001533,nd,0.497,0.626,0.913
CN1_001534,1.89,-0.224,-0.020,-0.330
CN1_001535,2.46,0.206,-0.083,-0.619
CN1_001536,nd,-0.530,-0.953,-1.419
CN1_001537,1.12,-1.586,-0.975,-1.135
CN1_001538,2.11,0.104,-0.621,-0.474
CN1_001539,3.15,0.588,0.239,0.320
CN1_001540,2.74,-0.191,0.376,0.428
CN1_001541,nd,nd,nd,nd
CN1_001542,3.06,0.601,0.322,-0.041
CN1_001543,3.04,-0.224,-0.258,0.249
CN1_001544,1.88,-0.043,0.250,-1.204
CN1_001545,nd,-0.588,0.223,-0.099
CN1_001546,2.82,-0.043,-0.110,0.149
CN1_001547,2.63,0.264,0.279,-0.085
CN1_001548,2.70,-0.072,0.854,1.223
CN1_001549,nd,nd,nd,nd
CN1_001550,2.59,-0.041,0.157,0.235
CN1_001551,nd,0.042,0.022,1.692
CN1_001552,3.04,0.328,1.557,1.866
CN1_001553,2.92,0.270,0.175,0.148
CN1_001554,nd,-0.065,-0.552,-0.929
CN1_001555,3.44,nd,nd,nd
CN1_001556,2.39,0.211,-0.065,-0.797
CN1_001557,nd,-0.064,2.156,2.276
CN1_001558,1.82,-0.384,-0.553,-1.441
CN1_001559,4.77,0.657,0.447,0.491
CN1_001560,nd,0.257,1.034,0.393
CN1_001561,1.93,0.043,-0.020,-0.511
CN1_001562,2.82,0.154,0.276,0.020
CN1_001563,nd,0.989,1.470,1.377
CN1_001564,2.40,0.114,0.028,0.214
CN1_001565,2.34,-0.005,0.133,0.054
CN1_001566,2.43,0.151,-0.052,-0.525
CN1_001567,2.71,0.180,-0.189,-0.616
CN1_001568,2.62,0.360,0.496,0.953
CN1_001569,nd,nd,nd,2.679
CN1_001570,2.46,0.420,0.034,-0.383
CN1_001571,2.04,-0.297,-0.712,-1.479
CN1_001572,2.58,0.266,-0.080,-0.174
CN1_001573,2.11,0.065,-0.081,-0.207
CN1_001574,nd,-0.103,1.037,0.658
CN1_001575,nd,-0.027,0.082,0.368
CN1_001576,nd,-0.417,0.260,0.399
CN1_001577,nd,-0.614,-0.630,-0.632
CN1_001578,1.54,-0.543,-0.937,-1.737
CN1_001579,2.91,-1.666,-1.462,-0.700
CN1_001580,3.02,0.495,-0.163,-0.344
CN1_001581,1.52,-1.421,-1.119,-1.453
CN1_001582,1.57,-0.974,-0.497,-0.269
CN1_001583,nd,nd,nd,0.202
CN1_001584,nd,-4.009,-0.886,0.657
CN1_001585,nd,0.035,0.302,0.051
CN1_001586,3.56,0.646,0.503,0.428
CN1_001587,1.98,-0.407,-0.386,-1.238
CN1_001588,2.74,-0.050,-0.090,-0.283
CN1_001589,2.21,0.111,-0.167,-0.414
CN1_001590,nd,-0.495,-0.355,-0.618
CN1_001591,2.73,0.396,0.002,0.149
CN1_001592,nd,0.155,0.459,0.321
CN1_001593,2.21,0.045,-0.223,-0.318
CN1_001594,3.10,0.615,0.775,1.313
CN1_001595,2.58,-0.024,0.262,-0.036
CN1_001596,nd,nd,nd,nd
CN1_001597,2.74,0.131,-0.346,-0.957
CN1_001598,2.11,0.120,-0.536,-0.975
CN1_001599,2.04,-0.084,-0.207,-0.797
CN1_001600,nd,-0.029,0.521,0.826
CN1_001602,nd,0.122,0.386,1.017
CN1_001603,2.58,-0.565,-0.708,-1.576
CN1_001604,nd,-0.101,0.009,0.217
CN1_001605,2.38,-0.338,-0.088,-0.440
CN1_001606,nd,0.150,1.049,1.354
CN1_001607,nd,0.648,0.899,1.663
CN1_001608,2.49,0.232,0.340,0.358
CN1_001609,nd,-0.949,-0.924,-0.353
CN1_001610,1.90,-0.678,-0.486,-0.698
CN1_001611,2.07,-0.440,-0.685,-1.031
CN1_001612,2.00,-0.303,-0.815,-2.138
CN1_001613,2.68,0.156,0.433,0.918
CN1_001614,2.01,nd,nd,nd
CN1_001615,2.41,0.108,-0.224,-0.627
CN1_001616,2.28,0.098,-0.008,-0.337
CN1_001617,2.07,-0.442,-0.779,-2.234
CN1_001618,nd,-0.364,-0.021,-0.217
CN1_001619,2.36,0.261,0.361,0.759
CN1_001620,3.09,0.081,0.517,1.016
CN1_001621,nd,-0.197,0.327,0.508
CN1_001622,nd,0.553,0.541,1.159
CN1_001623,nd,nd,nd,nd
CN1_001624,nd,0.438,0.448,1.035
CN1_001625,nd,0.172,-0.239,0.713
CN1_001626,nd,nd,nd,0.228
CN1_001627,2.46,-1.902,-1.035,-1.144
CN1_001628,2.03,-0.687,-0.984,-1.934
CN1_001629,1.86,-0.341,-0.610,-1.174
CN1_001630,nd,0.556,0.874,1.801
CN1_001631,2.00,-0.282,0.069,-0.045
CN1_001632,2.84,0.213,-0.391,-0.851
CN1_001633,2.68,0.281,-0.490,-0.508
CN1_001634,2.55,0.234,-0.180,-0.157
CN1_001635,2.99,-0.390,-0.459,-0.131
CN1_001636,3.30,-0.150,0.184,0.783
CN1_001637,3.07,0.205,0.713,1.245
CN1_001638,2.07,0.027,-0.250,-0.892
CN1_001639,2.45,0.005,-0.093,-0.943
CN1_001640,1.96,-0.201,-0.378,-0.794
CN1_001641,2.05,-0.257,-0.438,-0.703
CN1_001642,1.80,-0.299,-0.474,-0.964
CN1_001643,2.42,0.276,0.024,-0.213
CN1_001644,1.96,-0.122,-0.430,-0.563
CN1_001645,2.76,-0.262,-0.032,-0.277
CN1_001646,2.27,-0.642,-0.969,-0.851
CN1_001647,nd,0.083,1.431,2.743
CN1_001648,nd,0.266,-0.099,0.242
CN1_001649,3.24,0.324,0.471,0.875
CN1_001650,nd,-0.570,-1.595,-1.503
CN1_001651,nd,0.233,-0.120,0.422
CN1_001652,2.11,-0.024,-0.025,-0.324
CN1_001653,2.12,-0.058,-0.217,-0.788
CN1_001654,2.38,0.167,0.065,0.134
CN1_001655,2.56,0.337,0.968,0.913
CN1_001656,2.24,-0.479,-0.543,-1.162
CN1_001657,2.59,-0.190,-0.247,-0.433
CN1_001658,3.27,0.219,0.126,0.572
CN1_001659,2.69,0.392,0.609,1.170
CN1_001660,nd,-3.716,-2.937,-2.721
CN1_001661,nd,0.372,0.549,1.000
CN1_001662,3.34,0.346,0.272,0.914
CN1_001663,nd,0.119,-0.248,-0.004
CN1_001664,1.96,-0.824,-1.144,-2.235
CN1_001665,nd,nd,nd,-1.949
CN1_001666,2.36,-0.871,-1.705,-2.830
CN1_001667,2.58,0.041,-0.149,-0.307
CN1_001668,2.01,-0.399,-0.203,-0.322
CN1_001669,nd,0.518,1.805,2.145
CN1_001670,nd,-0.517,-0.397,0.376
CN1_001671,nd,nd,nd,nd
CN1_001672,nd,0.252,1.848,3.181
CN1_001673,nd,0.039,0.369,1.246
CN1_001674,3.39,0.744,1.290,1.837
CN1_001675,3.12,-0.018,0.153,1.520
CN1_001676,3.91,1.042,0.917,1.460
CN1_001677,nd,0.017,0.323,0.408
CN1_001678,2.67,0.361,-0.290,-0.592
CN1_001679,1.94,-0.626,-0.458,-1.115
CN1_001680,3.67,0.937,0.904,-0.214
CN1_001681,nd,0.158,0.890,0.680
CN1_001682,1.63,-0.695,-0.542,-1.036
CN1_001683,nd,-0.174,-0.340,-0.502
CN1_001684,nd,nd,nd,-0.103
CN1_001685,nd,-0.299,0.791,0.866
CN1_001686,3.22,0.000,0.170,0.581
CN1_001687,nd,0.297,0.705,2.094
CN1_001688,2.01,-0.292,-0.031,-0.731
CN1_001689,2.27,-0.616,-0.328,-1.515
CN1_001690,2.10,-0.036,-0.798,-0.600
CN1_001691,1.71,-0.429,-0.749,-1.562
CN1_001692,2.12,-0.102,-0.280,-0.708
CN1_001693,nd,-0.280,0.490,0.525
CN1_001694,nd,0.486,-0.126,-0.162
CN1_001695,nd,-1.042,-1.630,-1.526
CN1_001696,nd,0.256,0.953,1.872
CN1_001697,2.17,-0.242,-0.483,-1.488
CN1_001698,nd,-0.233,2.379,2.515
CN1_001699,1.86,-0.593,-0.784,-0.969
CN1_001700,3.77,0.408,0.267,0.725
CN1_001701,2.30,-0.353,-0.891,-1.147
CN1_001702,1.99,-0.906,-0.356,-1.130
CN1_001703,3.17,0.412,-0.051,-0.321
CN1_001704,2.86,0.250,0.159,-0.029
CN1_001705,nd,-0.030,0.392,0.629
CN1_001706,nd,nd,nd,nd
CN1_001707,2.46,-0.210,0.115,-0.925
CN1_001708,2.29,-0.481,-0.458,-1.439
CN1_001709,2.05,-0.605,-1.475,-2.196
CN1_001710,2.06,-0.586,-0.361,-1.625
CN1_001711,2.62,-0.030,0.421,0.069
CN1_001712,2.22,0.150,-0.057,-0.841
CN1_001713,2.03,-0.161,-0.185,-0.492
CN1_001714,nd,nd,nd,0.439
CN1_001715,2.13,-0.058,-0.460,-0.677
CN1_001716,2.81,0.347,0.362,0.071
CN1_001717,2.22,0.014,0.009,-0.277
CN1_001718,2.90,0.336,0.137,-0.037
CN1_001719,1.93,-0.091,-0.289,-0.918
CN1_001720,2.28,0.353,-0.238,0.166
CN1_001721,1.67,-0.429,-0.803,-1.908
CN1_001722,1.86,-0.844,-0.703,-2.036
CN1_001723,1.81,-0.350,-0.759,-1.809
CN1_001724,1.97,-0.735,-0.887,-2.084
CN1_001725,1.79,-0.396,-0.270,-1.147
CN1_001726,2.09,-0.496,-0.722,-1.664
CN1_001727,2.99,-1.364,-1.571,-1.932
CN1_001728,2.00,-0.326,-0.637,-1.588
CN1_001729,2.05,-0.289,-0.531,-1.039
CN1_001730,2.20,0.064,-0.126,-0.886
CN1_001731,2.51,-0.760,-0.697,-0.937
CN1_001732,1.94,nd,,
CN1_001733,2.46,nd,nd,nd
CN1_001734,3.30,-1.217,-1.747,-2.399
CN1_001735,2.07,-0.129,-0.443,-1.126
CN1_001736,2.08,-0.129,0.264,-0.318
CN1_001737,1.85,-0.382,0.078,-0.044
CN1_001738,2.64,-0.073,0.218,0.486
CN1_001739,2.69,0.018,-0.355,-0.581
CN1_001741,2.14,-0.231,-0.406,-1.091
CN1_001742,2.54,0.213,0.037,0.091
CN1_001744,2.84,0.336,0.289,0.852
CN1_001745,2.80,0.200,0.198,-0.121
CN1_001746,2.05,-0.156,-0.693,-1.903
CN1_001747,3.02,0.139,0.553,0.929
CN1_001748,nd,0.142,-0.160,-0.111
CN1_001749,nd,0.071,-0.125,0.779
CN1_001750,1.77,-0.283,-0.580,-0.622
CN1_001751,1.86,-0.308,-0.419,-0.980
CN1_001752,2.25,-1.291,-1.926,-2.610
CN1_001753,2.34,-1.158,-1.260,-2.981
CN1_001754,2.36,-1.181,-1.324,-2.234
CN1_001755,2.07,nd,nd,nd
CN1_001756,2.31,0.044,-0.203,0.093
CN1_001757,2.93,-0.059,0.187,-0.637
CN1_001758,nd,-0.567,-0.399,0.372
